symbol,timestamp,open,high,low,close,volume,amount,source_freq
600519.SH,2026-06-29 10:35:00,1202.08,1209.0,1198.5,1208.01,346185,417217305.0,5min
600519.SH,2026-06-29 10:40:00,1208.86,1214.88,1208.86,1210.17,350140,424295181.0,5min
600519.SH,2026-06-29 10:45:00,1210.19,1212.83,1207.99,1210.91,181200,219434158.0,5min
600519.SH,2026-06-29 10:50:00,1210.91,1214.0,1209.18,1209.9,165058,200020736.0,5min
600519.SH,2026-06-29 10:55:00,1209.4,1209.89,1206.31,1206.38,114900,138782702.0,5min
600519.SH,2026-06-29 11:00:00,1206.21,1209.06,1205.5,1208.45,122850,148249322.0,5min
600519.SH,2026-06-29 11:05:00,1208.68,1210.0,1207.38,1208.56,75316,91028805.0,5min
600519.SH,2026-06-29 11:10:00,1209.26,1209.65,1207.0,1209.06,47900,57871206.0,5min
600519.SH,2026-06-29 11:15:00,1209.09,1209.65,1204.15,1204.34,68600,82787512.0,5min
600519.SH,2026-06-29 11:20:00,1204.39,1204.42,1201.35,1204.26,61900,74476595.0,5min
600519.SH,2026-06-29 11:25:00,1204.16,1206.32,1204.1,1204.69,37800,45536121.0,5min
600519.SH,2026-06-29 11:30:00,1204.69,1208.41,1204.69,1206.29,54400,65647957.0,5min
600519.SH,2026-06-29 13:05:00,1206.0,1207.0,1201.57,1204.12,98659,118847366.0,5min
600519.SH,2026-06-29 13:10:00,1204.0,1206.51,1203.05,1203.12,55715,67096975.0,5min
600519.SH,2026-06-29 13:15:00,1203.17,1204.02,1202.91,1203.66,38521,46352006.0,5min
600519.SH,2026-06-29 13:20:00,1203.64,1205.0,1203.0,1204.69,49700,59825574.0,5min
600519.SH,2026-06-29 13:25:00,1204.21,1204.44,1200.3,1200.3,51500,61908892.0,5min
600519.SH,2026-06-29 13:30:00,1200.5,1201.71,1196.11,1196.6,103300,123865704.0,5min
600519.SH,2026-06-29 13:35:00,1196.58,1196.58,1193.71,1194.04,102100,122042069.0,5min
600519.SH,2026-06-29 13:40:00,1194.52,1194.52,1191.12,1191.18,86497,103143394.0,5min
600519.SH,2026-06-29 13:45:00,1191.19,1195.55,1190.51,1194.37,64003,76339816.0,5min
600519.SH,2026-06-29 13:50:00,1194.59,1196.0,1193.3,1193.59,49100,58658628.0,5min
