symbol,name,industry,is_cycle_stock,notes,total_mv,circ_mv,amount,list_date,list_days,asof_date,universe_method,bias_notes
000100.SZ,TCL科技,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,11107700.0,10216500.0,11902149.517,20040130,8182,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
002837.SZ,英维克,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,11085600.0,9833900.0,8944337.136,20161229,3465,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
002466.SZ,天齐锂业,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,11074200.0,9539100.0,5545646.994000001,20100831,5777,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600547.SH,山东黄金,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,11031600.0,8649400.0,1853371.6390000002,20030828,8337,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688126.SH,沪硅产业,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,11009000.0,9467000.0,6875238.471999999,20200420,2257,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
000408.SZ,藏格矿业,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,10998100.0,10998000.0,1445761.582,19960628,10954,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601727.SH,上海电气,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,10955800.0,8894000.0,669639.079,20081205,6411,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600673.SH,东阳光,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,10942700.0,10913699.999999998,2984620.137,19930917,11969,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601127.SH,赛力斯,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,10922200.0,9763700.0,1999757.894,20160615,3662,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600926.SH,杭州银行,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,10895300.0,10895300.0,686736.692,20161027,3528,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300757.SZ,罗博特科,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,10844200.0,10518100.0,6738218.968,20190108,2725,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600703.SH,三安光电,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,10811199.999999998,10811199.999999998,15052509.291000001,19960528,10985,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
002736.SZ,国信证券,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,10723100.0,10064200.0,679756.7170000001,20141229,4196,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600905.SH,三峡能源,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,10720400.0,10720400.0,814071.927,20210610,1841,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601390.SH,中国中铁,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,10671099.999999998,8840900.0,659894.835,20071203,6779,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
